Test Methods,Assertion Roulette,Conditional Test Logic,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Duplicate Assert,Unknown Test,Resource Optimism,Magic Number Test
XmlTreeBuilderTest.testCommentAndDocType,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.canNormalizeCase,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.testDoesHandleEOFInTag,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.testSupplyParserToConnection,true,False,False,true,False,false,False,False,False,False,False,False,False,False,false,true
XmlTreeBuilderTest.testSimpleXmlParse,true,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.cdataPreservesWhiteSpace,true,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.testPopToClose,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.preservesCaseByDefault,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.testSupplyParserToJsoupClass,false,False,False,false,False,false,False,False,False,False,False,False,False,False,false,false
XmlTreeBuilderTest.testDetectCharsetEncodingDeclaration,true,False,False,true,False,true,False,False,False,False,False,False,False,False,true,false
HtmlTreeBuilderTest.ensureSearchArraysAreSorted,False,true,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HtmlTreeBuilderStateTest.ensureArraysAreSorted,False,true,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HtmlParserTest.handlesNullInComments,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.canPreserveBothCase,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesControlCodeInAttributeName,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesJavadocFont,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.testSupportsNonAsciiTags,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.tracksLimitedErrorsWhenRequested,true,false,False,false,False,false,False,False,true,False,False,False,false,False,false,true
HtmlParserTest.handlesEscapedScript,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesInputInTable,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
HtmlParserTest.handlesProtocolRelativeUrl,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.parsesRoughAttributes,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.cdataNodesAreTextNodes,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.testSupportsPartiallyNonAsciiTags,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesNullInData,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesKnownEmptyNoFrames,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesFrames,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handleNullContextInParseFragment,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
HtmlParserTest.testRelaxedTags,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesUnknownTags,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
HtmlParserTest.handlesTextAfterData,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesWhatWgExpensesTableExample,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesKnownEmptyBlocks,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.testHgroup,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.normalizesDiscordantTags,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesUnclosedScriptAtEof,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.createsStructureFromBodySnippet,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.findsCharsetInMalformedMeta,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.noErrorsByDefault,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
HtmlParserTest.noImplicitFormForTextAreas,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.testUsingSingleQuotesInQueries,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.parsesSimpleDocument,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.ignoresDupeEndTrTag,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesTbodyTable,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.selfClosingVoidIsNotAnError,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
HtmlParserTest.handlesXmlDeclAndCommentsBeforeDoctype,true,false,False,true,False,true,False,False,false,False,False,False,false,False,true,false
HtmlParserTest.caseSensitiveParseTree,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.noTableDirectInTable,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.parsesQuiteRoughAttributes,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.parsesUnterminatedTextarea,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.parsesBodyFragment,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesUnclosedFormattingElements,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesXmlDeclarationAsBogusComment,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.testAFlowContents,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.ignoresContentAfterFrameset,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.commentBeforeHtml,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.reconstructFormattingElements,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesTextArea,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.handlesKnownEmptyIframe,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.caseInsensitiveParseTree,false,false,False,false,False,false,False,False,false,False,False,False,false,False,false,false
HtmlParserTest.createsDocumentStructure,true,false,False,false,False,false,False,False,false,False,False,False,false,False,false,true
